CASEID;TM_START;TM_FINIS;DURATION;WEIGHT;RELPREF;DENOM;ID_MAINL;ID_RELRI;ID_THEOL;ID_EVANG;ID_THEOC;ID_CHARI;ID_BIBLE;ID_BORNA;ID_PENTE;ID_SEEKE;ID_FUNDA;ID_SPIRI;ID_SECUL;ID_IRREL;ID_RELIG;ID_ATHEI;ID_REFUS;HOWRELIG;ATTENDAN;PASTATTE;BIBLE;HUMANORI;ATLANTIS;POSTHINK;FORTUNET;ASTROLOG;HAUNTING;DREAMS;UFOS;BIGFOOT;SATAN_EV;HOROSCOP;PSYCHIC;HAUNTED;OUIJA;HAD_DREA;SAW_UFO;POLPREF;POLAFFIL;CANTRUST;SATIS_LI;SATIS_FI;SATIS_HE;DECISION;GAS_STRA;GAS_HELP;TRUST_PO;SAFE_HOU;SAFE_NET;SAFE_WAL;SAFE_NGB;SAFE_CIT;SAFE_WOR;WATCH_TA;WATCH_CO;WATCH_TR;WATCH_CR;WAVE_TV;WORRY_OL;WORRY_MO;WORRY_UN;WORRY_IL;WORRY_DE;OWNGUNS;SCI_SEAS;SCI_BULL;SCI_LIGH;SCI_SUN;SCI_VACC;YOUTH_RE;YOUTH_VI;YOUTH_FI;YOUTH_HA;YOUTH_DR;YOUTH_PR;YOUTH_SE;NET_GOVT;NET_CORP;NET_BULL;NET_IDEN;NET_SEXP;ENVIRONM;CLIMATEC;ENV_AIRP;ENV_DRIN;ENV_RIVR;ENV_PIPE;ENV_SOIL;ENV_RAIN;ENV_WARM;ENV_OILS;ENV_EXTI;ENV_SPRA;ENV_RUNO;DISAS_QU;DISAS_TO;DISAS_FL;DISAS_AS;DISAS_VO;DISAS_EM;DISAS_PO;DISAS_TE;DISAS_NU;DISAS_ME;DISAS_CO;DISAS_PA;DISAS_UN;DISAS_DE;DISAS_WA;GOVT_DRO;GOVT_OBA;GOVT_COR;GOVT_GUN;SURVIVAL;SUPPLIES;EVACUATI;FUTURE_C;FUTURE_S;FUTURE_O;FUTURE_T;FUTURE_A;GAY_TV;GAY_TEAC;GAY_MARR;GAY_SCHO;GAY_COAC;GAY_POLI;GAY_POLT;GAY_SOLD;GAY_RELL;IMM_CRIM;IMM_ASSI;IMM_DRAI;IMM_DISE;IMM_RAID;IMM_DEPO;IMM_PATH;THERM_AT;THERM_CD;THERM_CI;THERM_DE;THERM_DH;THERM_EP;THERM_FB;THERM_FD;THERM_FE;THERM_IR;THERM_NS;THERM_MS;THERM_AS;THER_ATH;THERM_BL;THERM_CA;THERM_WH;THERM_EV;THER_FEM;THERM_HI;THERM_HO;THERM_IM;THERM_JE;THERM_MU;THERM_PR;FEAR_MUG;FEAR;FEAR_STA;FEAR_MUR;FEAR_BRU;FEAR_RAP;FEAR_HAT;FEAR_SHO;COMP_ABD;COMP_GAN;COMP_TRA;COMP_RIO;COMP_PED;COMP_SCH;COMP_SER;COMP_RAP;CRIM_JUS;CRIM_EMP;CRIM_MOR;CRIM_EVI;CRIM_MED;CRIM_MEN;CRIM_BIA;PUN_SENT;PUN_DEAT;PUN_APPE;PUN_STRI;PUN_CAST;PUN_PRIV;PHOB_BLO;PHOB_ANI;PHOB_CLO;PHOB_DRO;PHOB_FLY;PHOB_GHO;PHOB_HEI;PHOB_SPE;PHOB_CLA;PHOB_STR;PHOB_DAR;PHOB_ZOM;PPAGE;PPAGECAT;PPAGECT4;PPEDUC;PPEDUCAT;PPETHM;PPGENDER;PPHHHEAD;PPHHSIZE;PPHOUSE;PPINCIMP;PPMARIT;PPMSACAT;PPREG4;PPREG9;PPRENT;PPSTATEN;PPT01;PPT25;PPT612;PPT1317;PPT18OV;PPWORK;PPNET;I_RELIGION;I_AGE;I_EDUC;I_RACE;I_GENDER;I_FINCOME;I_MARITAL;I_REGION
820;4/17/2014;4/17/2014;980;0,4868;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;7;4;2;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;6;7;1;2;2;1;3;2;2;1;1;3;2;1;2;1;3;5;4;3;1;3;3;4;3;3;;4;1;1;4;4;2;3;2;3;1;2;3;3;3;4;3;4;1;1;1;2;1;1;1;1;1;1;1;1;1;3;3;2;4;4;2;2;3;3;3;4;3;3;4;4;3;4;2;4;4;2;3;1;4;2;4;4;2;4;4;1;1;1;1;1;1;4;3;4;4;4;4;4;59;91;51;57;62;80;67;91;92;58;39;61;100;100;100;100;100;72;93;100;99;99;99;92;29;4;3;4;4;3;4;4;4;3;4;2;3;3;3;3;3;2;1;2;2;2;1;2;4;4;3;4;4;3;4;3;4;3;4;4;3;;2;4;4;4;69;6;4;14;4;1;1;1;2;1;16;1;1;4;8;1;84;0;0;0;0;2;5;1;5;4;4;1;1;5;1;4
821;4/17/2014;4/17/2014;30;0,2638;10;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;5;3;2;2;3;3;2;2;2;3;2;2;2;2;2;2;1;4;6;2;3;3;4;3;2;2;2;2;3;4;3;4;;3;4;2;3;1;;4;;;2;1;2;3;2;;3;3;3;3;3;3;3;3;3;3;2;3;3;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;3;2;3;3;2;2;3;3;2;4;4;1;1;1;1;1;1;3;2;2;3;3;2;;67;80;52;53;68;52;59;63;51;47;55;47;76;52;92;65;97;74;83;87;97;80;92;93;85;3;1;3;3;4;3;4;3;3;2;2;2;3;2;3;3;2;2;2;2;2;2;3;3;3;3;3;3;2;3;3;3;3;4;4;3;2;2;4;4;4;65;6;4;9;2;1;1;1;2;1;7;1;1;2;4;1;41;0;0;0;0;2;6;1;5;4;2;1;1;2;1;2
822;4/17/2014;4/17/2014;15;1,7127;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;4;2;2;2;4;3;2;2;2;3;4;1;2;2;2;1;2;6;6;3;2;2;2;3;3;3;2;2;3;3;3;2;2;4;1;2;2;2;2;2;3;4;4;1;2;3;2;2;4;1;1;1;1;1;1;1;3;2;3;2;3;3;1;2;1;1;2;2;3;3;2;2;2;2;3;3;3;3;3;4;2;1;3;3;2;3;3;2;1;2;2;2;3;5;2;3;3;3;1;3;4;2;3;3;1;1;1;1;1;1;3;2;3;3;2;2;3;50;75;50;75;75;98;75;60;50;50;60;50;75;75;75;25;75;25;75;75;75;70;75;70;50;3;2;3;3;4;3;4;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;3;2;2;3;3;3;2;4;3;4;4;4;4;3;3;3;3;3;4;27;2;1;12;4;1;2;0;2;3;14;6;1;4;8;2;84;0;0;0;0;2;1;1;5;1;4;1;2;4;4;4
823;4/17/2014;4/17/2014;39;0,5992;9;Jehovah's witness;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;8;1;2;1;2;3;3;4;2;3;4;3;2;2;2;2;2;2;1;2;1;1;2;2;2;3;2;2;1;2;2;;1;1;1;5;5;5;5;5;4;4;4;4;4;1;4;1;4;4;4;3;2;2;2;2;2;2;4;4;4;3;4;2;2;3;3;3;3;2;2;4;2;2;3;2;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;4;3;3;4;4;1;2;4;4;2;4;1;1;2;1;4;4;4;4;4;4;3;3;3;3;4;4;4;100;69;100;100;68;96;100;66;94;40;100;68;100;32;100;97;100;98;40;100;21;100;98;98;93;4;3;4;4;4;4;4;4;2;3;3;4;2;2;3;2;1;2;2;3;2;2;4;3;;2;1;2;2;4;4;4;4;4;4;3;4;4;4;4;4;56;5;3;11;3;5;1;1;2;1;6;4;0;3;7;1;74;0;0;0;0;2;2;0;4;3;3;3;1;1;2;3
824;4/17/2014;4/27/2014;14307;0,2958;1;Presbyterian USA;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;7;7;2;3;3;3;3;4;3;3;3;3;3;2;2;2;2;2;2;2;3;2;2;2;2;3;3;3;2;1;3;3;1;2;2;4;4;;3;3;3;2;3;3;4;1;1;3;4;1;3;2;2;2;2;3;3;2;1;2;4;2;4;2;3;3;3;3;4;3;4;4;3;4;1;3;4;4;4;4;4;4;4;3;3;3;3;3;3;2;2;1;1;1;3;3;1;3;2;3;2;4;4;3;4;3;2;2;2;2;2;2;3;2;2;3;2;2;3;25;50;40;35;25;10;40;45;55;5;50;50;50;50;50;50;50;50;35;50;30;50;50;50;50;3;2;4;4;4;3;3;3;3;1;1;3;3;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;52;4;3;12;4;1;2;1;5;1;15;1;1;2;3;1;31;0;0;0;0;5;1;1;1;3;4;1;2;4;1;2
825;4/17/2014;4/17/2014;30;0,8622;1;Southern Baptist Convention;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;4;8;8;1;1;4;4;4;4;4;4;4;4;1;2;2;2;2;2;2;2;3;3;2;2;2;2;3;3;2;2;3;4;2;2;2;2;3;;3;2;3;3;4;3;3;1;2;;2;2;3;3;3;2;3;3;2;3;3;3;3;2;3;3;4;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;;3;3;1;2;2;3;3;;2;2;;1;1;1;4;2;3;2;2;3;2;1;1;1;1;4;4;2;2;4;4;1;3;1;2;2;2;3;50;49;50;50;49;50;50;50;50;48;51;49;50;6;50;51;50;100;49;50;50;50;49;50;50;3;2;3;3;3;3;3;3;2;2;2;;2;1;2;2;2;3;1;2;2;2;3;2;3;2;2;2;2;3;2;4;3;;4;3;1;3;4;3;4;75;7;4;9;2;1;2;1;2;1;9;1;1;3;6;1;62;0;0;0;0;2;5;1;1;4;2;1;2;2;1;3
826;4/17/2014;4/17/2014;22;2,2638;1;Pentecostal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;3;2;1;4;4;4;4;4;4;4;4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;1;1;1;1;1;1;5;5;4;4;2;3;4;4;4;4;1;2;2;2;3;2;3;3;3;4;4;4;4;3;3;4;2;4;;3;3;3;2;3;2;3;3;2;3;3;2;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;4;2;1;2;;2;4;;;;;;1;1;1;4;4;4;4;4;4;2;2;1;2;2;1;1;90;58;62;47;59;69;68;77;70;63;40;58;29;37;28;19;49;49;30;51;2;15;90;1;50;4;2;3;4;;4;4;4;5;5;5;5;5;5;5;5;;;;;;;;1;1;1;1;1;1;4;3;4;4;4;4;4;4;4;4;4;4;54;4;3;4;1;4;2;1;2;1;19;1;1;2;3;1;31;0;0;0;0;2;5;1;1;3;1;4;2;5;1;2
827;4/17/2014;4/17/2014;36;1,3935;1;first presbyterian;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;4;7;2;1;3;2;4;2;1;2;2;3;3;2;2;2;2;2;2;4;4;1;1;1;1;2;2;2;2;1;2;2;1;2;2;3;3;3;4;1;3;4;4;3;3;4;2;4;2;2;4;1;1;1;1;1;1;1;1;1;4;1;1;3;1;2;2;2;2;1;1;2;1;2;2;2;3;3;3;3;3;3;3;2;2;2;2;3;3;3;1;4;1;1;1;5;2;4;1;1;3;2;3;2;4;3;2;2;2;2;2;2;1;2;1;3;1;1;3;21;49;28;24;18;21;19;22;21;6;28;18;74;66;68;72;78;76;71;67;50;4;74;5;51;4;2;4;4;4;4;4;4;1;1;1;1;1;1;2;1;1;4;1;1;1;3;3;1;2;1;1;1;1;4;3;4;4;3;4;3;2;4;4;4;4;69;6;4;9;2;1;1;1;2;1;13;1;0;2;3;1;35;0;0;0;0;2;5;1;1;4;2;1;1;4;1;2
828;4/17/2014;4/17/2014;43;0,6019;3;non denominational;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3;7;1;1;1;3;2;3;4;2;2;4;3;2;2;2;2;2;2;2;2;3;3;1;1;2;4;4;3;1;1;2;2;1;1;1;4;4;4;4;3;3;3;3;2;4;1;2;2;3;3;2;1;1;1;1;3;2;1;4;3;4;1;4;3;1;2;2;2;3;3;2;2;2;4;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;3;2;4;4;4;3;4;3;1;2;1;3;3;2;2;2;4;3;2;2;3;3;3;2;51;50;51;50;50;23;51;5;66;51;50;50;100;50;100;100;100;100;29;100;24;100;100;72;49;4;2;4;4;4;4;4;4;2;1;1;1;1;1;3;3;2;1;1;2;1;1;3;3;3;2;3;2;2;4;4;4;4;4;4;4;4;4;4;4;4;49;4;3;12;4;1;2;1;4;1;16;1;1;3;5;1;54;0;0;0;2;2;1;1;3;3;4;1;2;5;1;3
829;4/17/2014;4/17/2014;17;0,5439;2;Roman Catholic;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;3;5;4;2;4;1;3;4;3;3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1;3;3;3;2;2;2;2;2;2;2;4;3;3;4;1;3;3;3;3;3;1;1;1;3;4;4;1;1;2;2;3;1;1;2;2;4;3;4;1;2;3;3;3;4;3;2;3;4;3;4;3;3;4;4;4;4;3;2;2;2;3;3;3;3;3;3;4;3;3;2;6;2;4;2;4;2;4;4;2;3;1;2;2;2;2;2;2;3;2;3;3;2;2;2;66;91;90;60;86;42;94;90;88;72;88;57;90;75;89;83;92;86;48;92;67;87;90;79;84;3;3;4;3;4;4;4;3;3;4;3;3;3;2;3;3;2;2;2;2;2;2;3;3;3;2;3;2;3;3;4;4;4;4;4;3;4;3;4;4;4;51;4;3;12;4;1;1;1;2;1;19;1;1;3;5;1;59;0;0;0;0;2;1;1;2;3;4;1;1;5;1;3
830;4/17/2014;4/17/2014;16;2,2055;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;6;5;2;3;;3;3;3;3;3;3;3;2;2;2;2;2;2;4;4;2;2;3;1;2;4;4;2;2;3;3;3;;2;5;5;4;4;3;4;4;4;4;4;2;3;3;2;2;2;1;2;2;1;2;2;2;1;1;3;1;4;3;4;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;2;4;3;2;3;1;2;1;1;4;2;3;2;3;3;3;3;2;3;2;1;1;1;1;1;1;2;2;1;2;2;1;1;50;100;50;49;49;51;49;50;4;26;30;22;51;85;42;51;99;84;49;37;48;5;50;6;15;2;1;3;3;3;3;3;3;3;2;3;3;2;2;3;2;2;3;1;1;1;1;3;1;2;2;2;1;1;4;4;4;4;4;4;4;4;4;4;4;4;19;1;1;8;1;1;1;0;4;1;13;5;1;1;2;1;23;0;1;0;0;3;7;1;5;1;1;1;1;4;3;1
831;4/17/2014;4/17/2014;18;1,8327;1;Baptist;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;4;6;6;2;1;;3;3;3;3;;3;3;;2;2;2;2;2;2;1;1;2;3;3;2;3;3;3;2;3;3;4;3;4;1;5;5;5;5;5;3;2;3;3;4;1;2;3;3;;3;2;1;2;2;2;2;2;2;2;3;2;3;3;4;1;2;2;;2;2;3;2;3;2;2;4;3;4;4;4;4;4;3;3;3;;4;3;3;3;4;3;1;4;3;2;3;2;3;3;3;;1;2;1;2;2;2;2;2;4;3;3;2;3;2;2;;50;79;50;70;76;76;50;30;65;17;66;50;87;50;50;51;77;100;50;79;50;49;92;51;50;3;2;3;3;3;3;3;3;3;3;2;3;3;2;3;3;2;3;1;1;1;1;;2;;2;;;1;4;3;4;4;4;4;3;3;3;4;3;4;40;3;2;10;3;4;2;1;5;1;14;1;1;2;4;1;43;0;0;1;2;2;2;1;1;2;3;4;2;4;1;2
832;4/17/2014;4/17/2014;46;0,95;1;;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;3;7;7;2;1;2;2;3;3;3;2;3;3;2;2;2;2;2;2;2;4;4;2;2;2;2;2;3;3;3;1;2;3;2;2;2;3;3;2;2;2;3;3;3;3;3;1;2;3;2;2;3;2;2;2;2;2;2;2;2;3;2;1;3;1;1;1;1;1;1;1;2;2;2;3;3;2;3;3;3;3;3;3;3;2;2;3;2;2;2;2;2;2;3;2;2;5;2;3;2;2;2;2;2;3;3;3;2;2;2;2;2;2;3;3;2;2;2;2;2;51;55;56;52;54;56;58;54;53;17;26;38;55;51;54;53;52;51;52;52;51;50;52;57;52;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;3;3;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;19;1;1;10;3;2;1;0;4;1;16;5;1;3;5;1;58;0;0;0;0;4;7;1;1;1;3;2;1;5;3;3
833;4/17/2014;4/17/2014;8;1,583;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;5;3;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;4;4;3;4;4;4;4;4;4;4;2;3;2;2;2;2;4;4;4;4;4;4;4;4;3;4;1;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;59;52;51;52;56;49;46;47;54;50;53;52;52;48;55;46;52;52;50;55;52;52;48;56;50;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;35;3;2;12;4;3;2;0;2;1;19;6;1;4;9;1;93;0;0;0;0;2;1;1;4;2;4;3;2;5;4;4
834;4/17/2014;4/17/2014;9;2,6438;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;5;2;3;2;4;3;2;2;2;4;2;2;2;2;2;2;2;4;4;2;3;2;3;3;2;2;2;2;3;2;2;3;2;4;3;3;3;3;2;2;2;2;2;1;2;3;4;4;2;2;3;3;2;2;3;2;3;2;3;2;3;2;3;3;2;3;2;2;3;4;3;4;2;2;3;2;2;3;2;3;2;2;3;2;2;3;2;3;2;3;2;3;2;3;2;3;3;2;3;3;2;3;2;3;3;2;3;3;2;2;3;2;3;2;2;3;2;54;52;52;74;26;44;62;29;45;40;60;42;43;54;44;59;44;60;37;48;54;50;67;46;34;3;2;2;3;2;3;2;2;4;4;3;4;1;3;3;4;3;2;3;2;3;2;3;2;3;2;2;2;4;4;3;3;3;4;1;1;3;2;4;3;2;28;2;1;9;2;1;2;1;2;1;15;1;1;2;3;1;31;0;0;0;0;2;7;1;5;1;2;1;2;4;1;2
835;4/17/2014;4/17/2014;32;1,6173;1;Presbyterian;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;7;2;1;3;3;4;4;2;3;4;4;2;2;2;2;2;1;2;4;4;2;3;4;2;3;2;2;3;3;2;3;3;4;2;4;3;5;5;2;2;1;3;3;3;1;2;3;3;3;4;2;2;2;2;2;1;3;3;2;4;2;4;1;1;2;1;1;2;3;1;2;3;2;2;3;2;2;2;4;3;2;3;1;2;2;3;3;2;3;4;3;1;1;2;3;2;4;2;3;2;4;3;2;1;1;2;3;2;2;2;3;2;3;1;3;2;2;2;70;73;39;61;69;78;49;70;38;16;34;53;42;72;26;69;97;56;36;14;9;2;82;2;42;3;3;4;2;2;4;4;2;2;1;3;3;2;1;2;1;1;2;1;2;2;3;4;3;1;1;1;1;1;3;4;4;4;4;4;3;1;4;3;4;4;55;5;3;10;3;1;1;1;1;3;6;3;1;3;7;2;74;0;0;0;0;1;1;1;1;3;3;1;1;1;2;3
836;4/17/2014;4/17/2014;21;0,8333;2;Roman Catholic;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;7;4;3;3;2;2;3;4;2;3;2;3;2;2;2;2;2;2;1;2;1;1;1;2;2;3;2;2;2;1;3;1;1;1;1;1;5;5;5;2;4;3;4;3;3;;4;3;4;1;4;1;1;2;2;2;1;2;1;1;4;2;4;2;2;3;3;3;3;2;3;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;1;2;5;2;4;1;3;3;4;4;1;3;1;2;2;2;2;2;2;3;2;2;3;3;2;3;27;88;69;52;30;4;53;69;22;4;45;50;88;38;79;93;84;80;40;75;69;80;80;56;67;4;3;4;4;4;4;4;4;2;1;2;2;1;1;2;2;1;1;1;3;1;1;3;2;3;1;1;2;1;4;3;4;4;4;4;4;4;3;4;4;4;78;7;4;13;4;1;1;1;2;1;17;1;1;1;2;1;22;0;0;0;0;2;5;1;2;4;4;1;1;5;1;1
837;4/17/2014;4/17/2014;78;0,2799;10;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;1;4;3;3;2;3;4;4;2;3;4;4;2;2;2;2;1;2;5;5;3;3;4;2;3;2;2;2;1;1;1;1;1;1;5;5;5;5;1;3;1;2;4;4;1;1;3;2;2;4;3;2;2;4;3;2;3;3;1;3;2;4;2;1;2;2;2;2;2;3;2;2;3;4;3;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;3;3;2;4;6;2;4;3;3;2;3;4;2;4;4;1;1;1;1;1;1;2;1;2;3;1;2;3;50;100;40;50;50;50;50;50;30;50;50;50;100;100;100;70;100;70;70;100;100;80;100;100;90;4;2;4;4;4;4;4;4;4;4;4;4;4;1;5;4;3;1;3;1;4;3;3;2;1;1;1;1;4;4;4;4;2;4;4;4;2;4;4;4;4;30;2;2;10;3;1;1;0;4;1;10;5;1;4;8;1;86;0;0;0;0;4;4;1;5;2;3;1;1;3;3;4
838;4/17/2014;4/17/2014;29;0,4008;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;6;4;2;2;2;4;4;2;3;2;3;3;1;2;2;2;2;2;6;6;1;3;2;1;3;2;2;1;1;3;1;1;1;1;4;4;3;4;2;2;2;3;3;3;3;3;3;3;3;2;2;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;3;3;3;1;1;2;3;2;1;1;3;3;3;4;;4;4;1;3;2;2;1;2;4;2;4;3;1;2;1;1;1;1;3;3;2;3;2;2;3;55;83;57;52;59;87;65;88;60;39;42;57;89;88;92;93;95;94;94;93;93;92;92;92;71;3;2;3;3;3;3;3;3;2;3;2;4;3;2;3;3;3;2;3;3;3;2;3;3;3;2;2;3;2;4;4;4;4;4;4;4;3;4;4;4;1;57;5;3;12;4;1;1;1;3;1;16;1;1;2;3;1;32;0;0;0;1;2;1;1;5;3;4;1;1;5;1;2
839;4/17/2014;4/17/2014;22;0,7339;1;Assembly of God;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;0;0;4;8;8;1;1;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;4;3;2;3;2;3;2;2;2;1;3;2;2;2;2;5;5;5;4;5;4;3;3;3;4;2;2;2;3;3;3;2;2;2;2;2;2;2;3;3;4;2;4;2;2;3;3;3;4;3;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;3;1;1;2;3;2;4;3;3;3;3;1;1;3;1;3;3;2;2;2;3;2;2;2;3;2;2;2;50;50;42;44;43;20;44;35;50;30;35;50;50;50;50;50;50;50;42;50;50;50;50;50;50;4;3;4;4;;4;4;4;3;2;1;3;2;2;3;2;2;3;2;3;2;3;3;2;2;2;2;2;1;4;4;4;4;4;4;4;4;4;4;4;4;57;5;3;12;4;1;1;1;2;1;10;1;1;2;4;1;43;0;0;0;0;2;1;1;1;3;4;1;1;3;1;2
840;4/17/2014;4/17/2014;19;0,6827;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;7;4;2;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;6;4;1;2;2;2;4;2;2;2;1;1;2;1;1;1;3;5;5;5;3;1;1;3;2;1;2;4;1;4;4;4;2;2;2;3;3;2;2;2;2;4;3;4;1;1;2;3;3;3;3;2;1;3;2;3;3;2;4;4;4;4;4;4;4;4;4;2;4;4;4;4;3;4;3;4;2;2;4;2;4;2;3;4;2;3;4;1;1;1;1;1;1;3;2;2;3;3;3;3;75;100;15;51;68;90;72;96;93;81;39;50;50;73;51;50;50;24;51;51;51;51;51;50;20;4;3;4;4;4;4;4;4;3;4;2;4;3;2;2;2;2;2;2;2;3;2;3;3;4;3;4;4;3;2;3;4;3;4;4;2;4;2;4;4;4;64;5;4;13;4;1;1;1;3;1;18;1;1;4;9;1;93;0;0;0;0;3;1;1;5;4;4;1;1;5;1;4
841;4/17/2014;4/17/2014;15;1,7611;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;4;2;3;3;3;3;3;3;3;2;3;2;2;2;2;2;2;4;6;2;2;2;;3;3;3;3;2;3;3;2;2;2;4;4;3;3;3;3;2;2;2;3;1;2;3;3;2;2;2;2;2;2;2;2;2;2;2;3;1;3;1;1;2;2;2;3;2;2;1;2;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;1;3;3;2;2;3;2;2;2;2;2;2;3;3;3;3;3;3;3;4;27;38;39;24;28;42;42;20;7;15;23;48;41;42;33;27;32;33;33;33;36;21;28;23;2;1;2;3;;3;3;3;2;2;2;4;2;1;3;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;18;1;1;8;1;1;1;0;4;2;14;5;1;3;5;2;54;0;0;0;1;3;1;1;5;1;1;1;1;4;3;3
842;4/17/2014;4/20/2014;4354;0,4022;3;Unitarian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;4;2;4;2;4;4;2;4;3;4;4;1;2;2;1;2;2;6;6;2;1;3;1;2;3;3;2;2;3;4;2;2;3;3;3;3;1;3;3;2;2;3;3;1;1;3;1;2;4;1;1;1;1;1;1;1;2;3;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;2;2;2;2;2;2;2;4;3;2;2;;2;4;3;2;4;2;3;1;3;4;3;4;4;1;1;1;1;1;1;2;1;2;4;2;1;1;5;61;15;52;52;100;53;52;97;6;55;;95;52;99;32;77;11;72;52;100;51;100;100;6;2;1;1;3;4;1;4;2;4;4;2;2;3;1;3;2;1;1;1;1;1;1;3;2;4;1;1;1;1;;2;2;2;4;3;3;4;1;3;2;4;40;3;2;13;4;1;2;1;4;1;17;1;1;1;1;1;15;0;0;2;0;2;1;1;3;2;4;1;2;5;1;1
843;4/17/2014;4/17/2014;42;0,3585;1;pentecoastal;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;8;8;1;1;4;4;2;1;4;2;3;4;2;2;2;2;2;1;2;4;;2;1;2;3;3;2;;2;1;3;3;3;3;3;2;3;3;1;2;3;3;;2;3;1;2;3;2;2;2;1;2;2;2;2;2;2;4;3;3;1;4;3;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;3;2;2;3;3;4;4;4;4;1;4;4;2;4;2;2;2;3;1;1;3;1;4;4;4;4;4;4;2;2;3;3;2;2;2;50;75;70;80;90;89;85;95;85;87;85;75;50;15;95;50;85;95;50;75;0;45;85;70;0;3;2;3;2;3;2;3;3;2;2;1;3;1;1;1;1;2;1;1;1;1;2;3;3;3;1;2;;2;;2;4;2;;4;4;2;3;3;4;4;59;5;3;8;1;2;2;1;2;4;8;1;0;3;5;1;57;0;0;0;0;2;6;1;1;3;1;2;2;2;1;3
