RESPID;DEVICETYPE;Q1;Q2;Q3;Q4;Q5;Q6;Q9A;Q9B;Q9C;Q9D;Q9E;Q9F;Q9G;Q9H;Q9I;Q9J;Q9K;Q10A;Q10B;Q10C;Q10D;Q11A;Q11B;Q11C;Q11D;Q11E;Q11F;Q13A;Q13B;Q13C;Q13D;Q13E;Q13F;Q13G;Q14A;Q14B;Q14C;Q14D;Q14E;Q15A;Q15B;Q15C;Q15D;Q15E;Q15F;Q15G;Q15H;Q15I;Q15J;Q15K;Q15AA;Q15AB;Q15AC;Q15AD;Q15AE;Q15AF;Q15AG;Q15AH;Q15AI;Q15AJ;Q15AK;Q15AL;Q15AM;Q15AN;Q16A;Q16B;Q16C;Q16D;Q16E;Q16F;Q16G;Q16H;Q16I;Q16J;Q16K;Q16L;Q16M;Q16N;Q16O;Q16P;Q17A;Q17B;Q17C;Q17D;Q17E;Q17F;Q17G;Q17H;Q17I;Q17J;Q17K;Q17L;Q17M;Q17N;Q17O;Q17P;Q17Q;Q17R;Q18A;Q18B;Q18C;Q18D;Q18E;Q18F;Q18G;Q18H;Q19A;Q19B;Q19C;Q20A;Q20B;Q20C;Q20D;Q20E;Q22A;Q22B;Q22C;Q22D;Q22E;Q22F;Q23A;Q23B;Q23C;Q23D;Q23E;Q23H;Q23I;Q23J;Q24;Q25;Q26A;Q26B;Q26C;Q26D;Q26E;Q28A;Q28B;Q28C;Q28D;Q29;Q30;Q31;Q32;Q27A;Q27B;Q27C;Q27D;Q33A;Q33B;Q33C;Q33D;Q33G;Q21;INT5;Z8;Z8A;EDUCATION;EDUC;Z4;Z5;EMPLOY;Z9;Z9A;Z9B;NEWINCOME;VOTER;PAGEFINAL;PGENDER;PRACE;PREGION;PMSTATUS;PADULTS;PPARENT;PAGE1;PAGE2;PRELIGION;LENGTH;WEIGHT1_TRIM;I_GENDER;I_AGE;I_MARITAL;I_REGION;I_RELIGION
3;2;4;1;1;4;1;4;6;6;1;3;3;3;3;3;6;6;6;1;1;3;1;3;2;2;2;2;3;1;5;5;5;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;2;3;2;2;1;4;4;2;2;3;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;4;3;5;3;5;1;1;3;1;1;4;2;1;4;4;4;3;2;2;2;2;1;4;3;2;3;2;4;4;1;2;3;2;3;3;3;2;2;2;1;1;1;1;2;3;3;3;3;3;4;1;3;1;2;4;3;;3;2;3;1;3;1;;;1;1;3;2;1;3;5;1;2;61;;25;17,2;2,5975;2;;4;3;1
4;1;2;2;4;4;4;2;3;3;1;1;6;1;1;1;3;1;6;3;3;4;4;1;1;1;1;1;1;3;4;4;4;3;4;2;4;4;2;1;3;4;4;2;3;3;2;3;3;2;2;2;3;3;3;3;3;4;4;3;4;3;3;2;2;2;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;3;3;4;4;3;2;4;3;3;4;2;4;3;3;5;1;5;2;5;5;2;5;4;2;4;1;4;4;2;2;4;1;1;1;1;4;1;2;2;2;1;2;1;1;2;2;3;4;2;2;2;1;1;1;2;1;1;3;1;3;2;3;2;1;1;4;4;4;1;2;7;;7;4;3;1;3;-1;-1;;99;1;4;1;1;2;4;2;2;65;;990;22,15;0,1716;1;;4;2;5
6;1;3;2;4;2;3;1;3;5;2;5;3;6;6;4;5;5;2;4;4;4;3;3;3;4;3;4;4;3;4;4;3;3;4;4;4;3;3;2;2;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;3;4;4;3;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;4;3;4;4;4;4;4;4;3;2;2;2;4;3;2;4;4;1;4;4;4;4;1;2;4;2;3;2;4;3;4;2;2;4;4;4;4;4;4;4;4;4;1;2;2;1;1;3;1;4;4;3;1;2;1;1;1;6;;6;4;1;;1;8;;2;13;1;3;1;1;2;3;2;2;57;;997;14,86666667;0,2643;1;;3;2;4
7;4;2;1;4;5;4;3;5;5;3;3;3;1;2;3;5;4;4;1;2;1;2;3;2;3;3;3;2;1;5;1;3;1;3;3;2;4;3;2;2;3;4;4;4;4;4;4;4;3;4;4;3;4;3;3;4;3;3;4;4;4;4;4;4;3;1;2;1;2;3;2;3;2;4;4;2;4;4;4;3;2;2;3;3;4;3;3;3;3;3;3;3;3;3;3;2;3;3;4;4;3;4;4;3;1;4;4;4;1;4;2;3;3;2;4;3;2;2;3;2;3;2;3;2;3;2;3;2;2;2;2;4;4;4;4;4;2;2;2;2;2;2;2;2;3;2;4;3;2;1;4;4;4;2;2;4;2;4;3;2;;2;2;;;2;1;3;2;1;1;6;1;2;64;;990;13,1;0,2757;2;;4;1;5
8;2;1;2;4;7;7;2;3;2;3;5;6;5;5;4;6;6;2;3;2;4;3;2;3;4;3;4;2;2;2;4;4;4;4;4;3;4;4;3;4;4;3;4;4;4;2;3;4;3;2;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;3;3;3;3;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;4;3;4;4;4;4;3;3;4;4;4;3;4;4;4;4;3;4;3;4;4;3;4;3;4;4;1;3;3;2;2;4;1;1;2;2;3;1;4;2;2;3;3;3;3;2;2;4;4;2;3;2;1;1;1;1;2;2;3;2;3;1;3;3;1;1;4;4;4;1;2;8;;8;4;1;;1;6;;;6;1;1;1;1;4;1;1;2;29;;995;8,733333333;0,8946;1;;1;4;5
9;2;1;2;4;7;7;2;6;6;1;5;6;2;5;4;2;5;2;2;1;3;2;2;2;2;2;2;2;2;5;4;3;2;4;4;3;4;2;2;3;2;3;2;3;3;3;2;3;2;2;3;2;2;2;3;2;4;4;4;4;2;2;2;3;4;3;4;3;3;4;2;3;2;3;3;3;1;3;4;4;3;2;4;3;3;3;4;4;4;2;2;3;3;4;4;2;2;4;2;4;3;4;4;4;4;2;3;4;3;4;2;2;2;2;3;4;1;1;2;2;4;1;2;1;2;2;2;2;1;2;2;4;4;3;2;3;1;1;1;1;2;2;3;2;4;2;2;3;1;1;4;4;4;1;1;6;;6;4;1;;1;8;;2;13;1;2;1;1;4;6;4;2;38;;990;20,38333333;0,6935;1;;4;4;5
10;4;4;8;1;1;1;1;6;6;1;6;3;6;6;2;6;4;3;4;4;4;3;4;4;4;4;4;4;4;5;5;5;4;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;4;1;3;2;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;4;2;2;3;4;1;4;4;3;4;1;2;3;3;2;3;3;2;4;2;2;3;1;3;4;3;3;3;3;3;1;1;3;1;2;2;2;3;4;4;2;4;2;2;4;3;;3;2;3;1;3;9;;;17;1;4;2;1;2;5;1;2;78;;5;12,5;2,7615;2;;4;2;1
11;2;3;5;3;4;4;3;3;5;2;2;5;6;5;2;5;5;2;3;3;4;3;3;3;2;3;3;4;3;5;3;5;3;4;4;3;3;2;2;2;3;4;4;3;3;2;3;3;3;3;3;2;1;3;2;2;4;3;3;3;2;2;2;2;1;4;4;3;3;4;4;3;4;4;4;4;4;4;4;3;3;3;2;2;3;3;3;3;4;1;2;3;2;2;4;3;3;3;2;2;2;2;2;3;2;3;3;3;1;1;4;2;1;1;4;2;3;3;3;3;3;2;3;3;2;2;3;2;3;2;2;3;3;2;3;3;3;3;2;3;1;2;3;1;2;2;1;2;2;2;4;3;2;1;2;4;2;4;3;3;1;3;4;;;4;1;4;1;1;4;6;1;2;66;;7;17,28333333;0,2441;1;;4;4;4
12;4;2;1;3;3;3;4;5;6;3;6;6;6;6;6;6;4;3;4;4;3;4;3;4;3;2;3;3;4;5;3;4;4;4;4;2;4;3;3;3;4;2;3;3;4;4;3;4;4;3;3;3;4;2;3;3;4;3;4;2;2;3;3;3;3;4;4;3;4;4;4;4;4;4;4;3;1;4;4;3;2;4;3;4;4;3;4;4;4;4;3;4;3;4;4;4;4;4;4;3;3;3;5;4;4;3;3;2;2;3;3;3;4;3;4;2;2;2;3;3;2;2;2;3;2;1;2;3;3;2;2;3;2;3;1;3;3;3;3;3;1;2;2;1;3;3;3;3;3;3;2;3;3;2;1;3;;3;2;1;;1;9;;;17;1;3;2;1;3;6;1;2;50;;22;10,88333333;0,9003;2;;4;3;3
13;2;3;2;5;2;2;1;5;5;5;2;3;5;3;2;5;5;4;3;2;4;4;3;3;3;3;3;3;1;2;1;1;1;4;4;1;2;1;1;1;1;1;1;1;1;1;1;4;3;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;2;1;3;2;3;1;3;2;3;1;1;1;4;4;2;1;1;2;1;3;2;2;1;2;1;1;1;2;1;2;2;2;2;1;5;2;1;5;2;5;5;5;2;2;2;4;2;3;2;3;1;3;4;3;1;3;1;2;1;3;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3;4;1;3;3;4;1;3;1;2;2;3;;3;2;1;;1;6;;;6;1;3;2;1;4;6;1;2;54;;2;18,13333333;0,8217;2;;4;4;2
14;1;2;4;4;5;4;2;4;5;3;2;5;3;5;2;5;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;4;3;4;4;3;4;4;3;3;3;4;3;2;2;4;2;2;2;3;3;4;3;3;4;4;3;4;3;3;2;3;2;4;4;3;3;3;3;4;3;4;4;4;4;4;4;4;3;2;2;3;4;2;2;2;2;3;1;2;2;3;2;2;3;4;2;4;2;4;4;4;4;4;4;4;2;4;2;3;4;1;4;4;3;1;2;2;3;1;3;1;3;3;3;2;3;2;2;3;3;3;3;3;2;2;2;2;2;2;3;1;3;2;3;3;1;1;4;4;3;2;2;8;;8;4;3;3;5;8;;3;14;1;2;2;2;4;3;2;1;39;;2;17,03333333;1,2044;2;;3;4;2
15;2;2;4;4;6;6;2;3;6;2;5;6;5;2;4;6;3;6;3;3;4;3;2;2;2;3;2;1;3;5;4;3;3;4;3;3;4;2;3;2;4;3;4;2;2;3;4;3;3;2;2;3;3;3;4;3;4;4;3;4;3;4;3;3;2;4;4;3;4;4;4;4;4;4;4;2;4;4;4;4;4;3;4;4;4;2;3;4;4;3;4;3;3;4;4;3;3;3;4;4;3;4;3;4;4;2;4;3;1;3;2;3;2;2;3;4;2;3;2;3;4;2;3;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;3;2;3;3;1;1;4;4;4;1;2;6;;6;4;1;;1;7;;;7;1;3;1;1;1;3;2;1;51;;2;9,516666667;0,3695;1;;3;1;2
16;1;3;2;2;2;2;1;4;6;3;3;6;6;5;2;2;6;2;3;3;3;2;3;3;3;3;3;4;3;5;4;4;3;4;3;4;3;3;2;1;4;4;4;3;2;3;4;4;2;4;4;3;3;2;3;2;4;2;4;2;2;3;2;3;1;4;3;3;3;2;3;3;2;3;4;3;4;4;4;2;2;3;4;4;4;4;4;3;4;4;3;3;3;3;4;3;3;3;2;1;2;1;1;3;4;3;2;2;2;1;4;2;2;2;4;1;2;4;4;4;3;2;4;3;2;2;4;4;4;2;2;4;2;2;2;2;3;3;3;3;2;2;3;1;3;2;2;3;4;2;2;3;1;2;2;3;;3;2;1;;1;5;;;5;1;3;2;1;1;6;3;2;64;;2;17,73333333;0,2507;2;;4;1;2
17;4;1;1;5;4;4;4;6;6;6;6;6;6;6;4;6;6;6;2;2;3;3;3;3;3;3;3;3;2;5;2;5;2;3;3;4;3;3;4;4;4;4;4;3;3;4;4;4;3;4;4;3;3;3;3;2;3;3;3;3;3;3;2;2;2;4;3;4;3;4;4;4;3;3;3;3;2;3;4;3;3;4;4;4;3;2;4;4;4;4;2;2;3;4;4;3;4;4;3;5;5;5;5;4;4;5;5;4;4;3;2;3;2;3;3;2;3;2;2;2;2;2;3;2;3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;2;1;1;1;3;3;3;3;2;2;3;3;2;2;2;3;;3;2;3;1;3;5;;;5;2;3;2;1;2;3;2;2;57;;1;17,81666667;1,5006;2;;3;2;1
19;1;1;2;5;5;7;2;6;6;4;3;6;4;2;2;6;6;2;3;2;3;2;2;3;2;2;4;2;4;5;4;5;4;3;3;3;4;2;2;3;4;3;3;3;4;3;3;4;2;2;3;2;2;3;3;3;4;4;2;3;2;2;2;3;2;4;4;3;3;4;3;4;4;4;4;3;3;3;4;4;3;3;4;4;4;3;4;3;4;3;3;4;3;3;3;2;2;4;3;4;1;4;2;4;3;2;4;4;4;4;2;2;2;1;3;3;1;2;1;2;4;2;3;3;2;3;4;3;3;2;2;3;4;2;2;2;2;2;2;2;2;2;2;2;4;2;4;4;1;1;4;4;4;2;2;8;;8;4;3;1;3;8;;1;12;1;4;2;1;3;1;1;2;72;;7;14,45;0,4121;2;;1;3;4
20;2;3;5;1;2;2;1;6;6;2;5;6;6;6;2;6;4;4;3;2;3;2;2;3;3;3;3;4;2;3;3;3;3;4;4;4;4;3;3;2;2;3;3;4;4;3;3;4;3;4;3;3;4;2;2;3;4;3;4;3;3;3;3;3;3;4;4;4;4;4;3;4;3;2;4;3;3;3;4;3;3;3;4;3;4;3;4;4;4;4;3;3;3;3;4;3;3;3;3;4;3;4;4;4;4;4;4;3;2;2;3;3;2;2;4;3;3;3;4;3;4;2;2;3;2;1;3;2;4;2;1;3;2;3;3;3;4;4;2;4;1;2;2;1;3;1;2;2;4;2;3;2;2;1;1;4;2;4;3;1;;1;6;;;6;1;2;1;3;4;3;3;1;42;;5;15;0,9773;1;;3;4;1
21;2;1;1;4;3;3;1;6;6;2;6;5;6;6;6;6;5;1;3;3;3;4;4;4;4;4;4;4;2;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;1;2;3;3;4;2;4;3;1;3;4;4;3;2;3;3;4;4;3;3;1;3;4;4;3;3;3;4;2;2;3;4;3;4;4;5;4;4;3;3;4;2;1;4;2;2;3;4;2;3;4;3;4;1;2;4;3;3;2;4;4;4;2;2;4;4;4;4;4;4;4;4;4;2;2;3;2;4;3;4;4;4;3;2;3;2;2;1;4;2;4;3;1;;1;6;;;6;1;3;2;1;2;6;1;2;51;;22;20,21666667;1,0363;2;;4;2;3
22;2;3;8;1;4;4;2;4;4;4;2;1;3;3;1;1;5;2;3;2;1;2;3;3;3;3;3;3;2;5;2;5;3;2;4;2;4;4;2;2;2;2;2;1;1;2;2;1;1;2;2;3;2;3;4;4;2;3;3;4;2;2;2;2;2;4;2;1;2;2;2;2;1;3;1;3;3;4;4;3;3;1;1;1;1;2;2;3;2;1;1;1;2;3;1;2;2;3;2;5;4;4;4;4;4;4;4;2;3;4;2;3;2;1;3;3;2;3;2;2;4;3;2;2;2;2;2;3;3;1;1;2;1;3;1;4;3;2;2;3;2;1;3;2;3;2;2;2;1;1;3;2;2;2;1;2;;2;1;3;5;7;1;;;1;1;2;2;2;2;4;1;2;45;;997;25,96666667;1,3916;2;;4;2;4
23;1;3;7;2;2;1;1;4;6;1;2;2;6;4;3;6;3;3;4;4;4;4;4;4;4;4;4;4;3;4;4;3;4;4;4;3;4;2;1;1;4;4;4;4;4;4;4;4;4;4;4;3;4;3;2;4;4;2;4;2;4;4;2;2;3;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;3;1;2;1;1;4;4;4;3;4;1;4;4;4;4;2;1;4;3;1;2;3;2;4;2;2;4;2;3;3;1;3;3;3;3;1;1;1;1;1;1;1;1;4;3;3;3;1;1;1;4;2;4;3;1;;1;8;;2;13;1;2;1;1;1;3;3;1;48;;2;13,06666667;0,3522;1;;3;1;2
25;4;1;1;4;6;4;4;6;6;1;5;5;5;5;4;6;4;2;2;2;2;2;2;3;3;3;3;2;2;5;1;1;1;4;4;3;4;3;3;4;2;4;2;2;3;2;2;3;1;3;2;3;3;2;3;3;4;4;3;4;3;3;4;3;3;4;4;2;3;4;3;3;3;3;4;3;1;2;4;4;4;3;3;3;4;2;1;4;4;4;1;3;2;3;3;3;2;3;2;4;3;4;3;4;4;3;4;3;2;4;2;3;3;1;3;4;1;1;1;1;3;2;3;3;2;2;3;2;2;2;2;4;4;3;2;2;1;1;1;1;1;1;1;1;3;2;2;2;1;1;4;4;4;1;2;3;;3;2;1;;1;4;;;4;2;2;1;1;2;4;1;1;42;;990;14,46666667;0,6346;1;;4;2;5
26;2;3;8;4;2;1;1;3;6;1;2;1;6;6;1;6;2;6;3;3;3;3;4;4;4;4;4;4;3;5;4;3;4;3;3;4;3;3;3;3;4;3;4;4;3;4;4;4;3;4;3;4;3;4;4;3;4;2;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;3;4;3;3;4;4;4;3;3;4;1;2;4;4;1;4;4;4;4;1;1;3;2;2;1;3;2;4;2;2;3;2;2;4;4;3;3;3;3;2;2;2;2;2;3;2;3;4;2;2;3;1;1;2;3;;3;2;1;;1;8;;1;12;1;4;1;1;1;3;3;2;65;;2;26,91666667;0,2622;1;;3;1;2
28;1;3;8;2;2;4;3;6;3;2;3;5;3;3;3;6;5;5;3;3;4;4;3;3;3;3;3;3;3;5;5;5;3;4;4;3;3;3;2;2;4;4;4;4;4;3;4;4;3;4;3;3;3;3;4;3;4;3;2;4;3;3;3;4;3;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;2;3;4;3;2;3;3;3;2;2;3;2;3;3;3;2;2;2;1;3;1;3;3;3;2;2;2;2;1;1;1;1;3;2;2;3;1;1;4;4;3;1;2;8;;8;4;3;1;3;8;;3;14;1;999;1;1;4;3;2;2;99;999;8;16,76666667;0,1793;1;;3;4;1
30;4;1;1;4;6;6;2;4;6;6;6;6;6;6;6;6;2;2;3;3;2;2;4;3;3;3;4;2;3;4;3;4;4;4;3;4;4;3;3;4;4;4;2;4;3;3;3;4;3;3;3;4;4;3;3;3;4;4;4;4;4;4;3;4;3;3;2;2;3;4;1;3;1;3;4;1;1;3;2;4;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;3;3;4;4;4;3;4;3;4;4;3;4;4;3;4;2;3;2;2;3;3;2;2;2;2;3;2;3;2;2;2;3;2;2;2;2;3;4;3;3;3;2;2;2;2;2;1;3;2;3;2;1;2;2;1;4;4;4;2;2;4;2;4;3;1;;1;5;;;5;1;2;2;1;2;4;1;1;33;;995;23,95;0,2;2;;4;2;5
31;4;3;8;2;4;3;4;2;5;4;4;4;5;5;3;6;4;3;4;3;3;2;3;1;3;3;4;2;1;5;1;2;2;4;4;1;3;2;1;1;3;3;2;3;1;2;3;4;3;3;3;2;3;3;3;1;3;4;2;4;2;3;2;2;2;4;1;4;2;4;4;3;4;1;4;4;1;1;4;3;3;4;3;3;2;4;3;1;1;3;3;3;2;3;3;2;4;3;2;5;4;4;4;4;4;4;4;2;4;1;3;3;2;3;3;3;3;4;3;3;1;3;3;3;2;3;3;4;3;2;2;3;2;3;2;3;2;2;3;2;2;1;3;1;2;2;4;3;3;3;3;3;3;2;2;3;;3;2;3;4;6;1;;;1;1;2;2;1;2;6;2;2;45;;22;17,36666667;0,949;2;;4;2;3
32;1;3;8;2;2;2;1;1;6;3;6;6;6;6;5;6;6;3;3;3;3;3;4;4;4;4;4;4;4;5;4;5;4;4;4;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;3;4;4;3;3;3;4;4;4;3;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;3;3;4;3;1;4;4;1;3;3;2;3;3;2;3;2;2;2;3;3;3;2;2;3;2;3;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;3;2;1;4;2;4;3;3;1;3;5;;;5;1;4;2;1;3;3;2;2;67;;990;34,26666667;0,7129;2;;3;3;5
34;4;1;1;4;6;7;2;6;6;1;3;6;6;6;3;4;6;6;2;2;2;3;1;1;1;1;1;1;3;5;3;5;2;4;2;4;3;2;2;3;3;3;2;2;2;3;3;3;1;2;3;3;2;3;2;3;4;4;1;4;2;3;1;4;2;4;3;4;3;4;4;4;3;4;4;3;3;4;4;4;4;3;4;3;3;4;3;4;4;4;3;3;3;3;4;3;3;4;3;4;3;4;3;4;3;2;4;4;3;4;2;3;2;2;2;3;2;2;2;3;3;2;3;2;2;2;2;2;2;1;1;3;4;2;2;2;1;1;1;1;2;2;3;2;3;3;3;3;1;1;4;4;4;1;2;3;;3;2;3;5;7;4;;;4;1;3;1;1;2;3;2;2;52;;2;44,21666667;3,1207;1;;3;2;2
39;1;3;1;1;3;1;1;6;6;6;6;1;6;6;6;6;6;2;2;3;4;1;4;4;4;4;4;4;1;5;5;5;1;4;4;2;3;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;1;1;3;1;4;4;4;4;3;4;4;4;1;4;4;4;4;4;4;3;1;4;4;3;1;1;1;1;1;1;4;1;1;3;1;1;1;1;1;1;1;1;3;4;1;1;4;1;4;1;1;3;1;1;4;2;2;3;4;1;1;1;1;3;1;1;4;4;4;4;4;4;4;2;2;1;1;4;4;4;4;4;4;4;1;2;2;2;4;4;4;4;4;4;1;1;1;2;2;2;;2;1;3;1;3;7;;;7;1;4;2;1;3;3;2;2;68;;1;14,8;0,6681;2;;3;3;1
40;2;4;7;1;6;4;2;5;3;3;6;6;5;5;6;6;3;3;2;2;2;1;2;1;1;2;2;2;1;1;1;4;1;2;2;2;2;1;1;1;2;1;3;2;2;1;3;2;1;1;2;2;2;2;2;1;4;3;4;2;1;1;2;2;2;3;4;4;1;3;4;1;1;4;4;4;4;4;4;2;4;2;4;2;2;2;1;4;4;2;2;2;2;4;4;3;2;4;1;4;3;4;3;4;4;3;4;2;1;2;2;3;3;1;3;4;1;1;1;1;4;2;1;1;3;2;2;2;2;2;2;4;1;2;1;4;1;1;1;1;2;2;2;2;3;2;1;3;2;1;4;4;3;1;1;6;;6;4;1;;1;5;;;5;2;1;1;2;3;3;2;1;29;;5;18,78333333;2,148;1;;3;3;1
42;2;3;2;2;6;6;2;4;5;2;1;6;5;6;1;5;6;3;1;1;1;1;2;2;2;2;2;2;4;4;4;4;2;3;2;3;4;1;3;3;3;2;2;3;4;3;3;3;3;3;2;3;1;3;2;2;4;4;2;4;1;1;1;1;1;4;4;3;3;4;3;4;4;4;4;4;3;3;4;4;2;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;4;3;1;1;4;1;4;4;3;3;4;2;4;2;2;2;2;3;3;2;2;2;2;3;2;2;3;2;2;3;2;2;2;2;3;3;3;3;3;2;2;2;2;2;1;1;1;2;2;2;2;2;2;4;3;3;2;1;8;;8;4;1;;1;8;;2;13;1;2;2;1;3;3;2;1;49;;15;12,1;0,3732;2;;3;3;1
44;1;4;9;2;4;4;3;6;5;3;4;5;5;5;3;6;4;3;4;1;4;1;3;3;3;3;3;3;1;1;3;1;2;4;3;3;3;2;3;2;3;3;3;3;3;3;3;4;3;3;3;3;3;2;2;3;4;4;3;4;2;3;3;2;2;4;2;3;2;4;2;3;3;3;3;2;4;2;4;4;4;3;2;3;3;3;3;3;3;2;4;2;2;2;3;2;2;3;2;3;3;4;5;4;4;2;2;3;3;4;2;2;2;3;3;3;2;3;2;3;2;1;2;3;2;1;2;2;3;2;2;3;2;2;3;3;2;3;3;2;1;1;1;1;2;4;2;3;2;2;2;3;3;1;1;8;;8;4;2;;2;5;;;5;1;2;1;1;3;3;2;2;43;;1;15,78333333;0,3367;1;;3;3;1
45;1;3;7;2;4;2;4;4;5;1;2;3;3;3;1;6;6;1;2;2;2;2;2;2;2;2;3;2;3;5;4;4;1;3;2;2;2;2;2;2;2;2;2;3;2;3;3;4;2;2;2;2;3;1;2;2;4;4;3;3;2;2;2;2;2;4;4;3;3;3;3;3;3;4;4;3;4;4;4;3;3;3;3;3;4;3;4;3;4;3;3;3;3;3;4;3;2;3;3;4;4;4;4;4;4;4;4;3;2;3;2;2;2;2;3;3;3;2;2;3;3;2;3;4;1;2;3;2;2;2;2;4;3;3;3;3;2;2;2;2;1;1;3;1;3;3;3;2;2;3;3;4;3;2;1;8;;8;4;1;;1;8;;2;13;1;3;2;1;3;3;3;2;60;;2;13,61666667;0,3312;2;;3;3;2
46;4;2;3;4;2;2;1;5;5;3;6;4;6;6;4;6;2;2;1;1;3;2;3;2;3;4;3;3;1;5;3;3;2;4;4;3;4;2;1;1;4;3;4;4;4;3;4;3;4;4;4;1;3;1;3;3;4;2;4;1;3;3;2;2;2;4;2;3;3;4;4;3;4;4;4;2;3;3;4;3;3;3;4;4;4;3;2;3;4;4;4;4;3;4;4;3;3;4;4;2;4;3;4;4;4;4;3;3;2;1;4;3;4;2;3;2;3;3;2;4;2;1;2;2;2;2;2;2;3;2;2;2;3;2;3;2;2;2;2;2;1;1;1;1;2;3;1;3;4;4;1;3;1;2;1;7;;7;4;2;;2;8;;1;12;1;3;2;1;3;3;4;2;54;;2;12,81666667;0,5515;2;;3;3;2
47;1;3;4;2;3;1;1;5;6;6;1;1;2;4;5;5;2;6;3;2;3;2;3;3;3;3;3;4;3;5;3;3;3;4;2;3;3;3;3;3;3;4;3;3;4;3;3;4;2;4;3;2;2;1;2;2;1;1;3;2;2;2;1;2;1;4;4;3;4;3;2;3;4;4;4;3;1;4;4;3;2;1;2;1;1;1;3;1;1;2;1;1;1;1;3;1;1;2;2;2;2;3;3;3;4;3;2;2;2;1;3;2;2;3;4;2;3;4;3;2;1;2;4;2;3;2;4;2;3;2;2;3;2;3;4;4;3;3;3;3;2;2;3;2;4;2;3;3;4;4;1;3;1;1;2;3;;3;2;1;;1;4;;;4;1;2;1;1;2;1;1;2;48;;2;10,06666667;0,3368;1;;1;2;2
48;1;3;6;1;2;3;1;3;6;2;1;1;6;6;1;5;6;2;2;2;3;2;3;3;3;4;4;4;3;5;4;4;2;4;3;4;3;1;2;2;3;3;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3;2;3;3;2;2;2;2;2;4;4;3;3;3;3;4;4;3;4;3;2;4;4;4;4;4;4;3;3;3;3;4;4;3;4;3;3;4;4;2;3;4;3;5;4;3;5;4;3;3;3;3;3;3;3;1;2;3;4;3;2;2;2;3;3;1;3;3;2;1;3;2;2;1;2;3;1;3;3;3;2;2;2;2;1;2;3;2;3;3;3;2;3;2;3;3;3;1;1;2;;2;1;3;1;3;6;;;6;1;3;1;1;3;3;2;2;64;;23;29,46666667;1,4559;1;;3;3;3
49;1;3;4;3;5;5;2;2;5;2;2;3;3;3;2;6;3;1;2;2;4;4;2;1;1;2;2;2;4;5;5;5;2;4;3;4;4;2;3;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;4;4;2;4;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;3;3;4;4;4;2;4;3;4;4;2;2;3;2;4;1;2;3;2;4;4;1;1;1;2;4;1;2;3;1;1;2;2;2;1;2;4;3;3;3;3;1;1;1;1;1;1;1;2;3;1;3;3;1;1;4;4;4;1;3;6;;6;4;3;1;3;6;;;6;1;4;1;1;1;4;2;2;70;;24;20,96666667;1,2276;1;;4;1;1
